word,decision,reason_or_evidence
THOU,exclude,no clear singular countable sense (heuristic)
THUD,keep,07396945: a heavy dull sound (as made by impact of heavy objects)
THUG,keep,10184081: an aggressive and violent young criminal
THUS,exclude,no clear singular countable sense (heuristic)
TICK,keep,04432308: a light mattress
TIDE,exclude,no clear singular countable sense (heuristic)
TIDY,exclude,no clear singular countable sense (heuristic)
TIER,keep,04433905: one of two or more layers one atop another
TIFF,keep,07184735: a quarrel about petty points
TILE,keep,04435180: a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
TILL,keep,02976939: a strongbox for holding cash
TILT,keep,06202296: a slight but noticeable partiality
TIME,keep,07288215: a person's experience on a particular occasion
TINE,exclude,no clear singular countable sense (heuristic)
TING,keep,07398097: a light clear metallic sound as of a small bell
TINT,keep,04959230: a quality of a given color that differs slightly from another color
TIRE,exclude,no clear singular countable sense (heuristic)
TITI,exclude,no clear singular countable sense (heuristic)
TOAD,exclude,no clear singular countable sense (heuristic)
TOBY,keep,04443766: a drinking mug in the shape of a stout man wearing a three-cornered hat
TODY,keep,01831360: tiny insectivorous West Indian bird having red-and-green plumage and a long straight bill
TOFF,exclude,no clear singular countable sense (heuristic)
TOFU,exclude,no clear singular countable sense (heuristic)
TOGA,keep,04445040: a one-piece cloak worn by men in ancient Rome
TOGS,exclude,possible plural or plural-only form
TOIL,exclude,no clear singular countable sense (heuristic)
TOKE,keep,00837965: a puff of a marijuana or hashish cigarette
TOLE,exclude,no clear singular countable sense (heuristic)
TOLL,keep,13323749: a fee levied for the use of roads or bridges (used for maintenance)
TOLU,exclude,no clear singular countable sense (heuristic)
TOMB,keep,03455033: a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
TOME,keep,06413579: a (usually) large and scholarly book
TONE,keep,04959230: a quality of a given color that differs slightly from another color
TOOL,keep,04451818: an implement used in the practice of a vocation
TOON,keep,06616464: a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
TOOT,keep,07398276: a blast of a horn
TOPE,keep,04346328: a dome-shaped shrine erected by Buddhists
TOPI,keep,02422391: a large South African antelope
TORE,exclude,no clear singular countable sense (heuristic)
TORT,exclude,no clear singular countable sense (heuristic)
TORY,exclude,no clear singular countable sense (heuristic)
TOSH,exclude,no clear singular countable sense (heuristic)
TOSS,keep,00345817: an abrupt movement
TOTE,keep,02970408: a capacious bag or basket
TOUR,keep,00310666: a journey or route all the way around a particular place or area
TOUT,keep,10712835: one who sells advice about gambling or speculation (especially at the racetrack)
TOWN,keep,08665504: an urban area with a fixed boundary that is smaller than a city
TRAM,keep,04335435: a wheeled vehicle that runs on rails and is propelled by electricity
TRAP,keep,02920369: a hazard on a golf course
TRAY,keep,04476259: an open receptacle for holding or displaying or serving articles or food
TREE,keep,13104059: a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown
TREK,keep,00310516: a journey by ox wagon (especially an organized migration by a group of settlers)
TREY,exclude,no clear singular countable sense (heuristic)
TRIG,exclude,no clear singular countable sense (heuristic)
TRIM,keep,04484160: a decoration or adornment on a garment
TRIO,keep,07041595: a musical composition for three performers
TRIP,keep,00076563: an unintentional but embarrassing blunder
TROT,keep,00287561: a gait faster than a walk
TROY,keep,13716490: a system of weights used for precious metals and gemstones
TRUE,exclude,no clear singular countable sense (heuristic)
TSAR,keep,09987239: a male monarch or emperor (especially of Russia prior to 1917)
TUBA,exclude,no clear singular countable sense (heuristic)
TUBE,keep,03757138: an electric railway operating below the surface of the ground (usually in a city)
TUCK,keep,04054361: a straight sword with a narrow blade and two edges
TUFA,exclude,no clear singular countable sense (heuristic)
TUFF,exclude,no clear singular countable sense (heuristic)
TUFT,keep,01325775: a bunch of feathers or hair
TUNA,keep,02527057: New Zealand eel
TUNE,keep,07028373: a succession of notes forming a distinctive sequence
TUNG,exclude,no clear singular countable sense (heuristic)
TURD,exclude,no clear singular countable sense (heuristic)
TURF,exclude,no clear singular countable sense (heuristic)
TURK,exclude,no clear singular countable sense (heuristic)
TURN,keep,01227083: a favor for someone
TURP,exclude,no clear singular countable sense (heuristic)
TUSH,exclude,no clear singular countable sense (heuristic)
TUSK,keep,01465713: a long pointed tooth specialized for fighting or digging
TUTU,exclude,no clear singular countable sense (heuristic)
TWAT,keep,10157744: a man who is a stupid incompetent fool
TWIG,keep,13163991: a small branch or division of a branch (especially a terminal division)
TWIN,keep,03117939: a duplicate copy
TWIT,keep,10734129: someone who is regarded as contemptible
TYKE,keep,09917593: a young person of either sex
TYPE,keep,04504486: a small metal block bearing a raised character on one end
TYPO,keep,06769670: a mistake in printed matter resulting from mechanical failures of some kind
TYRE,exclude,no clear singular countable sense (heuristic)
TYRO,keep,10363913: someone new to a field or activity
VALE,keep,09468604: a long depression in the surface of the land that usually contains a river
VALI,exclude,no clear singular countable sense (heuristic)
VAMP,keep,07032206: an improvised musical accompaniment
VANE,keep,01897991: the flattened weblike part of a feather consisting of a series of barbs on either side of the shaft
VARA,keep,13652661: a Spanish unit of length (about a yard) having different values in different localities
VASE,keep,04522168: an open jar of glass or porcelain used as an ornament or to hold flowers
VEAL,exclude,no clear singular countable sense (heuristic)
VEIL,keep,03502331: a garment that covers the head and face
VEIN,keep,02468735: one of the horny ribs that stiffen and support the wing of an insect
VELA,exclude,irregular plural form
VENT,keep,01323901: external opening of urinary or genital system of a lower vertebrate
VERB,keep,"06320569: a content word that denotes an action, occurrence, or state of existence"
VEST,keep,04223299: a collarless men's undergarment for the upper part of the body
VETO,keep,00209546: a vote that blocks a decision
VIAL,keep,03923379: a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
VICE,keep,00747029: a specific form of evildoing
VIEW,keep,05945642: a personal belief or judgment that is not founded on proof or certainty
VILA,exclude,no clear singular countable sense (heuristic)
VINE,keep,"13100677: a plant with a weak stem that derives support from climbing, twining, or creeping along a surface"
VINO,exclude,no clear singular countable sense (heuristic)
VIOL,exclude,no clear singular countable sense (heuristic)
VISA,keep,06687883: an endorsement made in a passport that allows the bearer to enter the country issuing it
VISE,keep,04538552: a holding device attached to a workbench
VIVA,keep,07198846: an examination conducted by spoken communication
VOID,keep,13910116: an empty area or space
VOLE,exclude,no clear singular countable sense (heuristic)
VOLT,keep,13643276: a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt
VOTE,keep,00183505: a choice that is made by counting the number of people in favor of each alternative
WADE,exclude,no clear singular countable sense (heuristic)
WADI,exclude,no clear singular countable sense (heuristic)
WAFT,keep,03911866: a long flag
WAGE,exclude,no clear singular countable sense (heuristic)
WAIF,keep,10763075: a homeless child especially one forsaken or orphaned
WAIL,keep,07211950: a cry of sorrow and grief
WAIN,exclude,no clear singular countable sense (heuristic)
WAIT,exclude,no clear singular countable sense (heuristic)
WAKE,keep,01029883: a vigil held over a corpse the night before burial
WALE,keep,14298620: a raised mark on the skin (as produced by the blow of a whip)
WALK,keep,00287142: a slow gait of a horse in which two feet are always on the ground
WALL,keep,04051825: an embankment built around a space for defensive purposes
WAND,keep,02809364: a thin tapered rod used by a conductor to lead an orchestra or choir
WANE,keep,13470491: a gradual decline (in size or strength or power or number)
WANT,keep,07486229: a specific feeling of desire
WARD,keep,02992032: a division of a prison (usually consisting of several cells)
WARE,exclude,no clear singular countable sense (heuristic)
WARP,keep,07434102: a moral or mental distortion
WART,keep,14464883: an imperfection in someone or something that is suggestive of a wart (especially in smallness or unattractiveness)
WASH,keep,04553245: a watercolor made by applying a series of monochrome washes one over the other
WASP,keep,02212062: social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting
WATT,keep,13644522: a unit of power equal to 1 joule per second
WAVE,keep,00346095: a movement like that of a sudden occurrence or increase in a specified phenomenon
WAYS,exclude,possible plural or plural-only form
WEAL,keep,14298620: a raised mark on the skin (as produced by the blow of a whip)
WEAR,keep,03051540: a covering designed to be worn on a person's body
WEED,keep,04570680: a black band worn by a man (on the arm or hat) as a sign of mourning
WEEK,keep,15136147: a period of seven consecutive days starting on Sunday
WEFT,exclude,no clear singular countable sense (heuristic)
WEIR,keep,04571566: a low dam built across a stream to raise its level or divert its flow
WEKA,keep,02015357: flightless New Zealand rail of thievish disposition having short wings each with a spur used in fighting
WELD,keep,04571958: a metal joint formed by softening with heat and fusing or hammering together
WELL,keep,04572344: a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
WELT,keep,04573281: a raised or strengthened seam
WEST,keep,"08561835: a location in the western part of a country, region, or city"
WHEY,exclude,no clear singular countable sense (heuristic)
WHIG,exclude,no clear singular countable sense (heuristic)
WHIM,keep,05919549: an odd or fanciful or capricious idea
WHIN,exclude,no clear singular countable sense (heuristic)
WHIP,keep,00134574: a quick blow delivered with a whip or whiplike object
WHIR,exclude,no clear singular countable sense (heuristic)
WHIT,keep,13773725: a tiny or scarcely detectable amount
WHIZ,keep,07400361: a buzzing or hissing sound as of something traveling rapidly through the air
WICK,keep,04581829: a loosely woven cord (in a candle or oil lamp) that draws fuel by capillary action up into the flame
WIFE,keep,10780632: a married woman
WILD,keep,08683548: a wild and uninhabited area left in its natural condition
WILE,exclude,no clear singular countable sense (heuristic)
WILL,keep,05983654: a fixed and persistent intent or purpose
WILT,exclude,no clear singular countable sense (heuristic)
WIMP,keep,"10781817: a person who lacks confidence, is irresolute and wishy-washy"
WIND,keep,00839597: a reflex that expels intestinal gas through the anus
WINE,keep,04964162: a red as dark as red wine
WING,keep,02151625: a movable organ for flying (one of a pair)
WINK,keep,00117959: a reflex that closes and opens the eyes rapidly
WIPE,exclude,no clear singular countable sense (heuristic)
WIRE,keep,04594489: a metal conductor that carries electricity over a distance
WISE,keep,04931733: a way of doing or being
WISH,keep,07185870: an expression of some desire or inclination
WISP,keep,07960928: a small tuft or lock
WOAD,exclude,no clear singular countable sense (heuristic)
WOLD,keep,08645318: a tract of open rolling country (especially upland)
WOLF,keep,09845589: a cruelly rapacious person
WOMB,keep,05519085: a hollow muscular organ in the pelvic cavity of females
WONT,keep,05669034: an established custom
WOOD,keep,04597066: a golf club with a long shaft used to hit long shots
WOOF,exclude,no clear singular countable sense (heuristic)
WOOL,keep,01899593: outer coat of especially sheep and yaks
WORD,keep,06286395: a unit of language that native speakers can identify
WORK,keep,04599396: a product produced or accomplished through the effort or activity or agency of a person or thing
WORM,keep,06586098: a software program capable of reproducing itself that can spread from one computer to the next over a network
WORT,exclude,no clear singular countable sense (heuristic)
WRAP,exclude,no clear singular countable sense (heuristic)
WREN,exclude,no clear singular countable sense (heuristic)
WRIT,exclude,no clear singular countable sense (heuristic)
WUSS,keep,10771636: a person who is physically weak and ineffectual
YAGI,keep,04610274: a sharply directional antenna
YALE,exclude,no clear singular countable sense (heuristic)
YANG,exclude,no clear singular countable sense (heuristic)
YANK,exclude,no clear singular countable sense (heuristic)
YARD,keep,04610503: an enclosure for animals (as chicken or livestock)
YARN,keep,04426788: a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
YAWL,keep,04612373: a sailing vessel with two masts
YAWN,keep,00837293: an involuntary intake of breath through a wide open mouth
YAWS,exclude,possible plural or plural-only form
YEAR,keep,08238660: a body of students who graduate together
YELL,keep,07120524: a loud utterance
YELP,keep,07400552: a sharp high-pitched cry (especially by a dog)
YODH,exclude,no clear singular countable sense (heuristic)
YOGA,keep,00630960: a system of exercises practiced as part of the Hindu discipline to promote control of the body and mind
YOGI,keep,10803978: one who practices yoga and has achieved a high level of spiritual insight
YOKE,keep,04613158: a connection (like a clamp or vise) between two things so they move together
YOLK,exclude,no clear singular countable sense (heuristic)
YORE,exclude,no clear singular countable sense (heuristic)
YORK,exclude,no clear singular countable sense (heuristic)
YOWL,keep,07121361: a very loud utterance (like the sound of an animal)
YUAN,exclude,no clear singular countable sense (heuristic)
YULE,exclude,no clear singular countable sense (heuristic)
YURT,keep,04613696: a circular domed dwelling that is portable and self-supporting
ZANY,keep,10157744: a man who is a stupid incompetent fool
ZARF,keep,04614244: an ornamental metal cup-shaped holder for a hot coffee cup
ZEAL,keep,07555402: a feeling of strong eagerness (usually in favor of a person or cause)
ZEBU,keep,02404906: domesticated ox having a humped back and long horns and a large dewlap
ZERO,keep,13740168: a quantity of no importance
ZEST,keep,04993108: a tart spicy quality
ZETA,exclude,no clear singular countable sense (heuristic)
ZINC,exclude,no clear singular countable sense (heuristic)
ZING,keep,07400701: a brief high-pitched buzzing or humming sound
ZIZZ,keep,00858742: a nap
ZONE,keep,08509442: an area or region distinguished from adjacent parts by a distinctive feature or characteristic
ZOOM,keep,07375525: a rapid rise
